statistic,Accuracy,IoU,Precision,Recall,Dice,AUC
mean,0.9533237725496292,0.6888003796339035,0.8219601541757584,0.8182102084159851,0.815091347694397,0.979404636967636
std,0.00582930072887905,0.03901212582748683,0.052378924209486886,0.0801803714264082,0.029010545059250076,0.00630054377517875
min,0.9313197135925293,0.5460720658302307,0.7437538504600525,0.5671105980873108,0.7063992619514465,0.9632127156689557
50%,0.9542851448059082,0.6897636651992798,0.8301738500595093,0.8336697220802307,0.8164024949073792,0.9785741671493365
max,0.9597395062446594,0.7479408979415894,0.936385989189148,0.9373332858085632,0.8557965755462646,0.9891945710080898
