statistic,Accuracy,IoU,Precision,Recall,Dice,AUC
mean,0.9543952941894531,0.8400721430778504,0.9091537714004516,0.9178729951381683,0.9116317331790924,0.9908148408951295
std,0.01955270647405117,0.0674370362733791,0.057960951397840195,0.05651802673300574,0.04181904412555062,0.008157481561848577
min,0.9069366455078125,0.6557349562644958,0.7122187614440918,0.7701465487480164,0.7920771837234497,0.9684061449025643
50%,0.9598312377929688,0.8576487898826599,0.9228289723396301,0.9280734956264496,0.9233498871326447,0.9941588402176311
max,0.982513427734375,0.9274603724479675,0.9692110419273376,0.9903140068054199,0.9623651504516602,0.9984435921255518
